RecordID,Restaurant Name,City,Entrée Description
1,Mcdonald's,Kansas City,"spice up your morning with peppers, onions, fluffy scrambled eggs, sausage and melty cheese all wrapped in a soft tortilla."
3,Bill's Cafe,San Jose,"four eggs scrambled with linguica, ortega green chilies, tomatoes and cheddar cheese, stuffed and rolled in a large flour tortilla. served with sour cream and fresh salsa"
5,Hardee's,Phenix City,"loaded with egg, crumbled sausage, bacon and diced ham, lots of shredded cheddar cheese, then wrapped in a warm flour tortilla, served with zesty salsa"
7,Paloma Blanca Mexican Cuisine,San Antonio,"(3) taquitos with marinated pork and pineapple, garnished with fresh cilantro, onion, pineapple, lime wedges and salsa de la senora"
8,Paloma Blanca Mexican Cuisine,San Antonio,"grilled fresh shrimp in two lightly fried, handmade corn tortillas topped with fresh cabbage, sliced hass avocado, tomato, onion and crema chipotle"
9,Paloma Blanca Mexican Cuisine,San Antonio,"(3) beef fajita taquitos grilled with cilantro and onion, garnished with fresh cilantro, onion, lime wedges and salsa de la senora"
10,Paloma Blanca Mexican Cuisine,San Antonio,"grilled fresh strips of talapia in two lightly fried, handmade corn tortillas topped with fresh cabbage, sliced hass avocado, tomato, onion and a spicy salsa de mango y habanero"
11,Baja Fresh,San Diego,"melted jack cheese, guacamole and pico de gallo.  choice of chicken, pork carnitas, steak, wahoo or shrimp."
12,Baja Fresh,San Diego,"black or pinto beans, rice, cilantro and onions.  choice of chicken, pork carnitas, steak, wahoo or shrimp."
13,Baja Fresh,San Diego,"black beans, rice, jack cheese, onions, cilantro and spicy chipotle  sauce.  choice of chicken, pork carnitas, steak, wahoo or shrimp"
15,Baja Fresh,San Diego,"grilled corn tortillas with salsa, onions and cilantro.  choice of chicken, pork carnitas, steak or shrimp."
16,Baja Fresh,San Diego,"any combination of two original baja or americano soft  tacos. served with rice and black or pinto beans. choice  of chicken, pork carnitas, steak, wahoo or shrimp."
19,Ivy At The Glenn,Littleton,"three eggs scrambled with breakfast potatoes, praline bacon, tomatoes, cheddar cheese, smothered with ivy green chili"
20,Borghi's,Chalfont,"scrambled eggs, peppers, caramelized onions, fresh tomato and vermont white cheddar cheese, served in a toasted flour tortilla with a scallion sour cream and home fried potatoes"
21,Addie's at The Woodford Inn,Versailles,"scrambled eggs, with bacon, sausage or ham, green peppers, onions and cheese. served with fried potatoes and salsa"
27,KFC,Milford,"a warm, soft, flour tortilla wrapped around hearty beans, real cheddar cheese, tangy red sauce and diced onions."
28,KFC,Milford,"a warm, soft flour tortilla filled with crispy potato bites, pepper jack sauce, crisp shredded lettuce, and real cheddar cheese."
29,KFC,Milford,"a crunchy, corn taco shell filled with seasoned ground beef, crisp shredded lettuce, and real cheddar cheese."
30,KFC,Milford,"a crunchy, corn taco shell filled with seasoned ground beef, reduced fat sour cream, crisp shredded lettuce, real cheddar cheese, and diced ripe tomatoes."
31,KFC,Milford,"a warm, soft flour tortilla spread with hearty beans and wrapped around a crunchy corn taco shell filled with seasoned ground beef, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes and reduced fat sour cream."
32,KFC,Milford,"this taco bell fresco taco is a crunchy, corn taco shell filled with seasoned ground beef, crisp shredded lettuce, and fiesta salsa."
33,KFC,Milford,"this taco bell fresco taco is a warm, soft flour tortilla filled with authentic carne asada steak, crisp shredded lettuce, diced ripe tomatoes, and fiesta salsa."
34,KFC,Milford,"this taco bell fresco taco is a warm, soft flour tortilla filled with seasoned ground beef, crisp shredded lettuce, and fiesta salsa."
35,KFC,Milford,"a warm, soft flour tortilla filled with authentic carne asada steak, real cheddar cheese, crisp shredded lettuce, diced ripe tomatoes, and avocado ranch sauce."
37,KFC,Milford,"a crunchy, red corn tortilla shell, filled with seasoned ground beef, crisp shredded lettuce, real cheddar cheese and topped off with cheesy, molten hot lava sauce."
38,Sonic Drive In,Mayflower,"put a stake in your hunger with the new steak and egg breakfast burrito. savor each bite of marinated sirloin steak, golden tots, melty cheddar cheese and fluffy eggs, all wrapped in a warm flour tortilla."
41,Rubio's,Littleton,"citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. with grilled all natural chicken or steak."
42,Rubio's,Littleton,"citrus rice, black beans, lettuce, red tomatillo salsa, salsa fresca and chipotle sauce. with chicken or steak."
44,Rubio's,Littleton,"fresh guacamole, cheese, salsa fresca and lettuce. chicken taco drizzled with chipotle sauce. with grilled all natural chicken raised without antibiotics or steak."
46,Tortilla Flat,Merrimack,"three soft double layered corn toritllas served taqueria style with your choice of meat topped iwth cilantro, onions and salsa"
48,The Lost and Found Saloon,Miami,"soft shell flour tortilla filled with scrambled eggs, saffron rice, refried beans, shredded cheese blend, lettuce and tomato. served with cole slow and pico de gallo. filled with a blend of shredded manchego, monterrey jack and cheddar cheeses. caesar salads topped with fresh grated jalapeno jack cheese."
51,El Pollo Loco,Merced,lightly battered fish fillet drizzled with creamy lime sauce and topped with shredded cabbage and fresh cilantro all tucked into two warm corn tortillas and served with a fresh lime wedge.
53,The Mayan Express,Sandy,"chicken machaca, rice and beans,  melted jack cheese smothered in our homemade mild guajillo sauce and finished with pico de gallo and sour cream."
54,The Mayan Express,Sandy,"pork sauteed with fresh fire roasted green chiles, tomatoes, onions and spices wrapped in a flour tortilla and finished with chile verde sauce."
55,The Mayan Express,Sandy,"fresh tortillas stuffed with your choice of chicken, pork or steak,  mexicali rice, homemade refrito beans"
58,Masa,Boston,"soft flour tortilla filled with scrambled eggs, vegetables, monterey jack cheese, southwest home fries and chorizo"
59,Tia Juana's Mexican Grille & Cantina,Hobbs,"three tacos made with tilapia topped with cabbage and pico de gallo. served with rice, calabacitas, guacamole and cilantro."
60,Peppercorn's Grille & Bar,Worcester,"scrambled eggs, avocado, salsa, jalapeno, scallions, vermont cheddar, monterey jack cheese, chipotle aioli, flour tortilla, truffle tots"
62,Peppercorn's Grille & Bar,Worcester,"chipotle-cinnamon dusted rare tuna, lettuce, tomato, avocado, roasted jalapeno, cilantro, lime, sriracha aioli, flour tortilla"
70,Taco Bell,Hazlehurst,"a crunchy taco made with premium seasoned beef, crisp lettuce, and real cheddar cheese, in a shell made from nacho cheese doritos chips."
72,Taco Bell,Hazlehurst,"this taco bell fresco burrito is a warm, soft flour tortilla wrapped around hearty beans, tangy red sauce, diced onions, and fiesta salsa."
78,Sabor De MÃ©xico,New York,"flour or whole wheat tortilla packed with rice, beans, salsa, shredded cheese, lettuce, guacamole and sour cream."
79,Yard House,Atlanta,"cheese crusted tortilla, carnitas, bacon chorizo, chipotle, cumin crema, guacamole, roasted garlic, cilantro"
80,Wayward Vegan Cafe,Seattle,"scrambled seasoned tofu, spicy chorizo, and spinach wrapped up in a king-sized grilled flour tortilla, topped with zesty sour cream. served with salsa fresco and homefries"
81,Wayward Vegan Cafe,Seattle,"chicken fried seitan, hashbrowns, and grilled onions and peppers rolled inside a warm flour tortilla. topped with country gravy and cheddar cheese. served with homefries"
93,Green Cactus Mexican Grill,Plainview,"charbroiled chicken or steak, sauteed mushrooms, green bell peppers, tomato, onions, jack cheese and guacamole served in a flour tortilla"
95,Green Cactus Mexican Grill,Plainview,"fresh lettuce with guacamole, sour cream, rice jack cheese, black or pinto beans, fresh pico de gallo, served with hot or mild salsa"
96,Green Cactus Mexican Grill,Plainview,"lightly breaded fish with melted jack and cheddar cheese, grilled onions, rice, cabbage, sour cream, with a slice of fresh avocado, served hot or mild"
98,Green Cactus Mexican Grill,Plainview,"sauteed shrimp with melted jack and cheddar cheese, grilled onions, rice, cabbage, sour cream with a slice of fresh avocado, served hot or mild"
99,Green Cactus Mexican Grill,Plainview,"crispy corn shell filled with seasoned ground beef topped with red leaf lettuce, chopped tomato and cheddar cheese. served hot or mild."
100,Green Cactus Mexican Grill,Plainview,"soft flour tortilla with chicken or steak, black or pinto beans, lettuce, sour cream, guacamole, jack cheese and fresh pico de gallo, served hot or mild"
113,Margarita's Mexican Cantina,Austell,"grilled tilapia cooked with onoins and cilantro wrapped in flour tortillas. served with rice, a cup of bean soup and avocado slices"
115,Margarita's Mexican Cantina,Austell,"diced beef fajita meat, fried with onions or cilantro, in soft corn tortillas. served with rice, beans, and sliced avocados."
116,Margarita's Mexican Cantina,Austell,"battered fried avocado stuffed with fajita meat and cheese, and a soft fajita taco. served with rice, beans, and pico de gallo."
117,Margarita's Mexican Cantina,Austell,"three flour fajita tacos (beef, chicken or pork) . served with rice, bean soup, guacamole and pico de gallo."
