category,location,crop_name,year,min_price_inr,max_price_inr
Cereals,Adilabad,Rice,2019,18,31
Cereals,Adilabad,Rice,2020,50,63
Cereals,Adilabad,Rice,2021,49,65
Cereals,Adilabad,Rice,2022,45,60
Cereals,Adilabad,Rice,2023,25,39
Cereals,Adilabad,Rice,2024,22,42
Cereals,Adilabad,Rice,2025,37,56
Cereals,Bhadradri Kothagudem,Rice,2019,49,67
Cereals,Bhadradri Kothagudem,Rice,2020,58,78
Cereals,Bhadradri Kothagudem,Rice,2021,26,43
Cereals,Bhadradri Kothagudem,Rice,2022,21,39
Cereals,Bhadradri Kothagudem,Rice,2023,36,48
Cereals,Bhadradri Kothagudem,Rice,2024,23,40
Cereals,Bhadradri Kothagudem,Rice,2025,28,44
Cereals,Hyderabad,Rice,2019,32,43
Cereals,Hyderabad,Rice,2020,26,38
Cereals,Hyderabad,Rice,2021,18,36
Cereals,Hyderabad,Rice,2022,47,67
Cereals,Hyderabad,Rice,2023,46,64
Cereals,Hyderabad,Rice,2024,27,46
Cereals,Hyderabad,Rice,2025,42,59
Cereals,Jagtial,Rice,2019,43,55
Cereals,Jagtial,Rice,2020,35,51
Cereals,Jagtial,Rice,2021,37,48
Cereals,Jagtial,Rice,2022,52,70
Cereals,Jagtial,Rice,2023,50,64
Cereals,Jagtial,Rice,2024,24,35
Cereals,Jagtial,Rice,2025,54,68
Cereals,Jangaon,Rice,2019,29,44
Cereals,Jangaon,Rice,2020,35,48
Cereals,Jangaon,Rice,2021,38,50
Cereals,Jangaon,Rice,2022,54,69
Cereals,Jangaon,Rice,2023,31,49
Cereals,Jangaon,Rice,2024,20,32
Cereals,Jangaon,Rice,2025,46,57
Cereals,Jayashankar Bhupalapally,Rice,2019,41,53
Cereals,Jayashankar Bhupalapally,Rice,2020,43,61
Cereals,Jayashankar Bhupalapally,Rice,2021,31,49
Cereals,Jayashankar Bhupalapally,Rice,2022,33,51
Cereals,Jayashankar Bhupalapally,Rice,2023,30,45
Cereals,Jayashankar Bhupalapally,Rice,2024,41,60
Cereals,Jayashankar Bhupalapally,Rice,2025,27,45
Cereals,Jogulamba Gadwal,Rice,2019,50,64
Cereals,Jogulamba Gadwal,Rice,2020,33,45
Cereals,Jogulamba Gadwal,Rice,2021,30,50
Cereals,Jogulamba Gadwal,Rice,2022,43,56
Cereals,Jogulamba Gadwal,Rice,2023,35,54
Cereals,Jogulamba Gadwal,Rice,2024,51,68
Cereals,Jogulamba Gadwal,Rice,2025,37,57
Cereals,Kumram Bheem Asifabad,Rice,2019,22,33
Cereals,Kumram Bheem Asifabad,Rice,2020,55,70
Cereals,Kumram Bheem Asifabad,Rice,2021,46,56
Cereals,Kumram Bheem Asifabad,Rice,2022,26,40
Cereals,Kumram Bheem Asifabad,Rice,2023,26,46
Cereals,Kumram Bheem Asifabad,Rice,2024,30,48
Cereals,Kumram Bheem Asifabad,Rice,2025,28,38
Cereals,Khammam,Rice,2019,50,64
Cereals,Khammam,Rice,2020,28,42
Cereals,Khammam,Rice,2021,23,33
Cereals,Khammam,Rice,2022,55,70
Cereals,Khammam,Rice,2023,17,36
Cereals,Khammam,Rice,2024,44,55
Cereals,Khammam,Rice,2025,45,55
Cereals,Karimnagar,Rice,2019,36,49
Cereals,Karimnagar,Rice,2020,43,53
Cereals,Karimnagar,Rice,2021,42,62
Cereals,Karimnagar,Rice,2022,29,42
Cereals,Karimnagar,Rice,2023,37,48
Cereals,Karimnagar,Rice,2024,50,67
Cereals,Karimnagar,Rice,2025,43,63
Cereals,Kothagudem,Rice,2019,24,38
Cereals,Kothagudem,Rice,2020,38,54
Cereals,Kothagudem,Rice,2021,31,46
Cereals,Kothagudem,Rice,2022,32,47
Cereals,Kothagudem,Rice,2023,43,54
Cereals,Kothagudem,Rice,2024,40,59
